t,x,y,dxdt,dydt
0.0,0.0,0.0,0.0,0.0
1.0,1.3884325724183436e-09,1.1798606974183436e-09,2.776865144836687e-09,2.359721394836687e-09
2.0,5.55323707599677e-09,4.71995721503672e-09,5.552743862320165e-09,4.720471640400065e-09
3.0,1.2493427019448585e-08,1.0621318342225774e-08,8.327636024583464e-09,7.0822506139780436e-09
4.0,2.2208015783464135e-08,1.8884972745799008e-08,1.110154150344764e-08,9.445058193168426e-09
5.0,3.46960166203987e-08,2.9511948970322533e-08,1.3874460170421494e-08,1.1808894255878627e-08
6.0,4.995644265396009e-08,4.2503275438424537e-08,1.6646391896701276e-08,1.4173758680325376e-08
7.0,6.798830687889593e-08,5.785998045110444e-08,1.9417336553170403e-08,1.6539651345034437e-08
8.0,8.879062216068072e-08,7.558309218804182e-08,2.2187294010399162e-08,1.890657212884031e-08
9.0,1.1236240123520252e-07,9.567363870790495e-08,2.495626413864443e-08,2.1274520910885956e-08
10.0,1.3870265670844943e-07,1.1813264794865917e-07,2.7724246807849378e-08,2.3643497570622494e-08
11.0,1.678104010561957e-07,1.4296114772787488e-07,3.0491241887643186e-08,2.601350198780892e-08
12.0,1.996846466236877e-07,1.7016016574303525e-07,3.325724924734075e-08,2.838453404251182e-08
13.0,2.3432440562532926e-07,1.997307295718437e-07,3.602226875594239e-08,3.075659361510507e-08
14.0,2.7172869014436726e-07,2.3167386667253104e-07,3.8786300282133576e-08,3.3129680586269576e-08
15.0,3.1189651213257636e-07,2.659906043841623e-07,4.1549343694284614e-08,3.550379483699295e-08
16.0,3.5482688340994386e-07,3.026819699269434e-07,4.431139886045038e-08,3.787893624856925e-08
17.0,4.0051881566435407e-07,3.4174899040252736e-07,4.7072465648370004e-08,4.025510470259867e-08
18.0,4.4897132045127237e-07,3.8319269279432034e-07,4.9832543925466613e-08,4.263230008098728e-08
19.0,5.001834091934291e-07,4.2701410396778736e-07,5.259163355884701e-08,4.5010522265946705e-08
20.0,5.541540931805033e-07,4.7321425067075766e-07,5.53497344153014e-08,4.738977113999387e-08
21.0,6.108823835688056e-07,5.2179415953373e-07,5.81068463613031e-08,4.9770046585950695e-08
22.0,6.703672913809612e-07,5.727548570701772e-07,6.086296926300823e-08,5.21513484869438e-08
23.0,7.32607827505593e-07,6.260973696768512e-07,6.361810298625545e-08,5.4533676726404245e-08
24.0,7.976030026970036e-07,6.81822723634087e-07,6.637224739656564e-08,5.691703118806721e-08
25.0,8.653518275748572e-07,7.399319451061065e-07,6.912540235914165e-08,5.930141175597173e-08
26.0,9.35853312623862e-07,8.004260601413226e-07,7.187756773886795e-08,6.168681831446042e-08
27.0,1.009106468193451e-06,8.633060946726423e-07,7.46287434003104e-08,6.407325074817913e-08
28.0,1.0851103044974642e-06,9.285730745177703e-07,7.73789292077159e-08,6.646070894207676e-08
29.0,1.1638638316138282e-06,9.962280253795112e-07,8.012812502501219e-08,6.884919278140485e-08
30.0,1.245366059484238e-06,1.0662719728460722e-06,8.28763307158074e-08,7.123870215171742e-08
31.0,1.3296159979138366e-06,1.1387059423913662e-06,8.562354614338994e-08,7.362923693887055e-08
32.0,1.4166126565708956e-06,1.2135309593753125e-06,8.836977117072809e-08,7.602079702902223e-08
33.0,1.5063550449864945e-06,1.2907480490441396e-06,9.111500566046973e-08,7.841338230863196e-08
34.0,1.5988421725542005e-06,1.3703582365306858e-06,9.385924947494208e-08,8.080699266446054e-08
35.0,1.6940730485297472e-06,1.4523625468547009e-06,9.660250247615137e-08,8.320162798356975e-08
36.0,1.7920466820307141e-06,1.5367620049231468e-06,9.934476452578257e-08,8.559728815332208e-08
37.0,1.892762082036205e-06,1.623557635530498e-06,1.0208603548519909e-07,8.799397306138041e-08
38.0,1.996218257386526e-06,1.7127504633590421e-06,1.048263152154425e-07,9.039168259570777e-08
39.0,2.1024142167828633e-06,1.8043415129791795e-06,1.0756560357723222e-07,9.279041664456702e-08
40.0,2.211348968786962e-06,1.8983318088497232e-06,1.1030390043096522e-07,9.519017509652059e-08
41.0,2.3230215218208025e-06,1.9947223753181986e-06,1.1304120563671574e-07,9.759095784043019e-08
42.0,2.437430884166278e-06,2.093514236621142e-06,1.1577751905423501e-07,9.99927647654565e-08
43.0,2.554576063964871e-06,2.1947084168843998e-06,1.1851284054295094e-07,1.0239559576105893e-07
44.0,2.6744560692173306e-06,2.2983059401234267e-06,1.212471699619678e-07,1.0479945071699527e-07
45.0,2.7970699077833476e-06,2.404307830243585e-06,1.2398050717006602e-07,1.0720432952332148e-07
46.0,2.9224165873812316e-06,2.512715111040441e-06,1.2671285202570176e-07,1.0961023207039134e-07
47.0,3.050495115587586e-06,2.623528806200065e-06,1.294442043870067e-07,1.1201715824885621e-07
48.0,3.181304499836983e-06,2.7367499392993253e-06,1.3217456411178782e-07,1.1442510794966472e-07
49.0,3.3148437474216407e-06,2.8523795338061888e-06,1.3490393105752687e-07,1.1683408106406252e-07
50.0,3.4511118654910945e-06,2.970418613080016e-06,1.3763230508138035e-07,1.1924407748359193e-07
51.0,3.590107861051874e-06,3.090868200371858e-06,1.4035968604017903e-07,1.2165509710009173e-07
52.0,3.7318307409671775e-06,3.2137293188247523e-06,1.430860737904277e-07,1.2406713980569684e-07
53.0,3.876279511956544e-06,3.3390029914740196e-06,1.4581146818830496e-07,1.26480205492838e-07
54.0,4.023453180595527e-06,3.4666902412475596e-06,1.4853586908966278e-07,1.2889429405424155e-07
55.0,4.173350753315372e-06,3.596792090966145e-06,1.5125927635002632e-07,1.3130940538292916e-07
56.0,4.325971236402682e-06,3.7293095633437184e-06,1.5398168982459358e-07,1.3372553937221742e-07
57.0,4.481313635999097e-06,3.864243680987686e-06,1.5670310936823513e-07,1.3614269591571772e-07
58.0,4.639376958100961e-06,4.001595466399213e-06,1.5942353483549378e-07,1.3856087490733583e-07
59.0,4.800160208559e-06,4.141365941973517e-06,1.6214296608058434e-07,1.4098007624127172e-07
60.0,4.963662393077989e-06,4.2835561300001625e-06,1.6486140295739325e-07,1.434002998120192e-07
61.0,5.129882517216424e-06,4.428167052663355e-06,1.6757884531947837e-07,1.458215455143657e-07
62.0,5.2988195863861976e-06,4.575199732042234e-06,1.7029529302006863e-07,1.482438132433919e-07
63.0,5.470472605852263e-06,4.724655190111166e-06,1.730107459120637e-07,1.5066710289447156e-07
64.0,5.6448405807323125e-06,4.876534448740037e-06,1.7572520384803378e-07,1.5309141436327115e-07
