t,x,y,dxdt,dydt
164.0,3.650796647282177e-05,3.2568442557746625e-05,4.3993878921911843e-07,4.022631382826647e-07
166.0,3.739301122528109e-05,3.3378060341700256e-05,4.451059632401958e-07,4.0735464567096886e-07
168.0,3.8288385443612645e-05,3.419786549491151e-05,4.502682550913622e-07,4.124505075402885e-07
170.0,3.919407935953135e-05,3.502786672183837e-05,4.5542566082734306e-07,4.1755071938657376e-07
172.0,4.0110083196865345e-05,3.5868072717927304e-05,4.605781765066518e-07,4.2265527670236196e-07
174.0,4.1036387171563586e-05,3.6718492169606444e-05,4.6572579819159227e-07,4.277641749767801e-07
176.0,4.197298149170344e-05,3.757913375427877e-05,4.7086852194826113e-07,4.3287740969554737e-07
178.0,4.291985635749825e-05,3.84500061403153e-05,4.760063438465506e-07,4.3799497634097763e-07
180.0,4.387700196130495e-05,3.933111798704826e-05,4.811392599601509e-07,4.431168703919817e-07
182.0,4.484440848763165e-05,4.0222477944764314e-05,4.862672663665522e-07,4.4824308732407e-07
184.0,4.5822066113145255e-05,4.112409465469774e-05,4.91390359147048e-07,4.533736226093549e-07
186.0,4.680996500667904e-05,4.203597674902364e-05,4.96508534386737e-07,4.585084717165533e-07
188.0,4.7808095329240304e-05,4.295813285085119e-05,5.016217881745257e-07,4.6364763011098893e-07
190.0,4.881644723401796e-05,4.389057157421677e-05,5.067301166031309e-07,4.687910932545949e-07
192.0,4.983501086639018e-05,4.483330152407728e-05,5.118335157690822e-07,4.739388566059162e-07
194.0,5.086377636393198e-05,4.578633129630331e-05,5.169319817727247e-07,4.79090915620112e-07
196.0,5.190273385642293e-05,4.674966947767238e-05,5.220255107182211e-07,4.842472657489586e-07
198.0,5.29518734658547e-05,4.7723324645862185e-05,5.271140987135543e-07,4.89407902440851e-07
200.0,5.401118530643879e-05,4.870730536944384e-05,5.321977418705301e-07,4.945728211408063e-07
202.0,5.5080659484614096e-05,4.970162020787511e-05,5.372764363047795e-07,4.997420172904657e-07
204.0,5.6160286099054635e-05,5.070627771149367e-05,5.423501781357612e-07,5.049154863280969e-07
206.0,5.725005524067716e-05,5.1721286421510365e-05,5.47418963486764e-07,5.100932236885969e-07
208.0,5.8349956992648836e-05,5.2746654870002457e-05,5.524827884849096e-07,5.152752248034941e-07
210.0,5.94599814303949e-05,5.37823915799069e-05,5.575416492611547e-07,5.204614851009508e-07
212.0,6.058011862160635e-05,5.482850506501362e-05,5.625955419502937e-07,5.256520000057664e-07
214.0,6.171035862624761e-05,5.588500382995877e-05,5.676444626909613e-07,5.308467649393789e-07
216.0,6.28506914965642e-05,5.695189637021801e-05,5.726884076256346e-07,5.360457753198676e-07
218.0,6.400110727709048e-05,5.8029191172099834e-05,5.77727372900636e-07,5.41249026561956e-07
220.0,6.516159600465724e-05,5.9116896712738806e-05,5.827613546661352e-07,5.464565140770141e-07
222.0,6.633214770839954e-05,6.021502146008888e-05,5.877903490761524e-07,5.516682332730607e-07
224.0,6.751275240976425e-05,6.132357387291671e-05,5.928143522885601e-07,5.568841795547657e-07
226.0,6.87034001225179e-05,6.244256240079493e-05,5.978333604650859e-07,5.621043483234534e-07
228.0,6.99040808527543e-05,6.357199548409548e-05,6.028473697713149e-07,5.67328734977104e-07
230.0,7.111478459890231e-05,6.471188155398294e-05,6.078563763766924e-07,5.725573349103566e-07
232.0,7.233550135173353e-05,6.586222903240781e-05,6.128603764545258e-07,5.777901435145117e-07
234.0,7.356622109437005e-05,6.702304633209986e-05,6.178593661819878e-07,5.830271561775336e-07
236.0,7.480693380229215e-05,6.819434185656144e-05,6.228533417401187e-07,5.882683682840527e-07
238.0,7.60576294433461e-05,6.937612400006086e-05,6.278422993138285e-07,5.935137752153682e-07
240.0,7.731829797775183e-05,7.056840114762569e-05,6.328262350918998e-07,5.987633723494507e-07
242.0,7.858892935811072e-05,7.177118167503609e-05,6.378051452669898e-07,6.040171550609444e-07
244.0,7.986951352941335e-05,7.29844739488182e-05,6.427790260356337e-07,6.092751187211696e-07
246.0,8.116004042904722e-05,7.420828632623749e-05,6.477478735982459e-07,6.145372586981254e-07
248.0,8.24604999868046e-05,7.544262715529211e-05,6.527116841591238e-07,6.19803570356492e-07
250.0,8.377088212489018e-05,7.668750477470624e-05,6.576704539264492e-07,6.250740490576335e-07
