t,x,y,dxdt,dydt
0.0,0.0,0.0,0.0,0.0
2.0,5.553730289673374e-09,4.719442789673374e-09,5.553730289673374e-09,4.719442789673374e-09
4.0,2.221037513420727e-08,1.8882513744095182e-08,1.110291455486052e-08,9.443628164748432e-09
6.0,4.996083819636489e-08,4.249869381812e-08,1.6647548507297097e-08,1.4172551909276389e-08
8.0,8.879601456596446e-08,7.557745553106247e-08,2.2187627862302463e-08,1.8906209803666076e-08
10.0,1.3870679076704911e-07,1.1812826295941488e-07,2.7723148338782193e-08,2.3644597624686327e-08
